,qir_lirg_med_m1_100000000.0,qir_lirg_low_m1_100000000.0,qir_lirg_upp_m1_100000000.0,qir_ulirg_med_z_100000000.0,qir_ulirg_low_z_100000000.0,qir_ulirg_upp_z_100000000.0,qir_lirg_med_m1_1000000000.0,qir_lirg_low_m1_1000000000.0,qir_lirg_upp_m1_1000000000.0,qir_ulirg_med_z_1000000000.0,qir_ulirg_low_z_1000000000.0,qir_ulirg_upp_z_1000000000.0,qir_lirg_med_m1_10000000000.0,qir_lirg_low_m1_10000000000.0,qir_lirg_upp_m1_10000000000.0,qir_ulirg_med_z_10000000000.0,qir_ulirg_low_z_10000000000.0,qir_ulirg_upp_z_10000000000.0,qir_lirg_med_m1_100000000000.0,qir_lirg_low_m1_100000000000.0,qir_lirg_upp_m1_100000000000.0,qir_ulirg_med_z_100000000000.0,qir_ulirg_low_z_100000000000.0,qir_ulirg_upp_z_100000000000.0
0,,,,,,,2.6156305494814376,2.53822288380605,2.673471520529695,,,,2.6533837608666673,2.574801348563968,2.7310613517647706,2.620398047694911,2.5664578588940143,2.654780679523358,2.7843308488843377,2.6553014248036924,2.97388561378087,2.641043232015747,2.5847460160211204,2.706239635370159
1,2.6629075126182933,2.658033627759383,2.6703340429791256,,,,2.6327563674751637,2.5649466251325683,2.680349240895471,2.6652430116010315,2.6577915755611827,2.6726944476408803,2.70253285726605,2.6301176234036903,2.7629594449111554,2.6391071586477324,2.6065877523078176,2.672077513797157,2.8453713717481897,2.724420877345119,3.100200098227422,2.684738911253529,2.6343155147764685,2.7557809338646884
2,2.634008286965262,2.5863803731387636,2.6579512429509364,,,,2.6596837879139255,2.605275012242095,2.7138367343290213,2.646272032482642,2.6181905989416774,2.66266644366169,2.7208475927581386,2.6513007163621354,2.8166412518585626,2.650750805339676,2.618645018301766,2.685375639605717,2.9616547812713954,2.7780214199273474,3.1578406141703566,2.7197666478681217,2.657053951343349,2.812052341745301
3,2.640509508660813,2.5957252998266465,2.6609647701428947,,,,2.658941409871879,2.611348416191521,2.7136380039337546,2.6474867392563013,2.6173048628301867,2.658232308169122,2.7220436589422405,2.6540057419997938,2.8084586844544006,2.651930824957077,2.623330625458144,2.691000407842437,2.958733016297625,2.814976612636913,3.088874511624101,2.742853580582871,2.6804804954042063,2.8390038176262995
4,2.638428634190312,2.598411107495221,2.6588343867692945,,,,2.6564277811843553,2.6143322239543823,2.706362261178917,2.63603027441307,2.6141285262122764,2.6541680396624905,2.7127646827996443,2.6502905818450477,2.7850538540768577,2.6522016749973822,2.623402265267211,2.6861896016270395,2.7716889521125516,2.7716889521125516,2.7716889521125516,2.6958807746187894,2.6576765002061835,2.7796911207046238
5,2.6392682189801775,2.6056473948437544,2.6578748244296757,,,,2.65276250079366,2.614100455548381,2.692300036455573,2.638647614183796,2.6199153901478995,2.6513013482409464,2.6905608642780017,2.6363575646996327,2.7577155865082488,2.6427714945509795,2.612929850700038,2.671370768737977,,,,2.674280113698522,2.674280113698522,2.674280113698522
6,2.6391735805307768,2.6077208365005102,2.658217589577592,,,,2.65071036884385,2.61374806288955,2.680849315000851,2.63878386625745,2.608027615983559,2.6477080020107273,2.685805622171962,2.6513578546984142,2.7365624285010313,2.659598443014511,2.6360737471055122,2.67920175367133,,,,,,
7,2.63849840312467,2.6088208169644034,2.6559564478675575,,,,2.6447887369976435,2.6139730451565937,2.6715637827496455,2.650661332511053,2.632638349622662,2.655196123926218,2.6631787671885583,2.6073484523883916,2.7205758654573837,2.6525011670188796,2.6234915150211124,2.680677873367142,,,,,,
8,2.6374635410634486,2.607073036532355,2.6549609509951537,,,,2.641370698485133,2.6096867915690503,2.6651692848607462,2.625072502179389,2.6238659182945234,2.6283682201828977,,,,2.6748131347240474,2.6748131347240474,2.6748131347240474,,,,,,
9,2.6361312799248164,2.6081062817405978,2.655035636480808,,,,2.6408869251784566,2.620393747330376,2.659487388776635,,,,,,,,,,,,,,,
10,2.634106926700248,2.6004419276231845,2.6509683101582135,,,,2.635858070234022,2.6232682806724967,2.6512738404460006,,,,,,,,,,,,,,,
